# Time (sec), Steering Angle (rad), Front Wheel Angle (rad), Gyroscope Z (rad / sec)
133.5060,0.0008,0.1871,-0.0001
133.6060,0.0008,0.1873,0.0009
133.7060,0.0007,0.1876,0.0027
133.8060,0.0007,0.1879,0.0016
133.9060,0.0007,0.1883,0.0024
134.0050,0.0007,0.1889,-0.0004
134.1050,0.0007,0.1895,-0.0034
134.2060,0.0007,0.1899,-0.0030
134.3060,0.0008,0.1902,-0.0019
134.4050,0.0008,0.1906,0.0025
134.5060,0.0008,0.1908,0.0005
134.6060,0.0008,0.1909,0.0005
134.7050,0.0008,0.1911,-0.0006
134.8060,0.0008,0.1911,0.0024
134.9060,0.0008,0.1910,0.0004
135.0060,0.0008,0.1910,-0.0023
135.1060,0.0008,0.1908,0.0029
135.2060,0.0008,0.1905,-0.0013
135.3060,0.0009,0.1903,0.0024
135.4060,0.0009,0.1898,0.0033
135.5060,0.0009,0.1893,0.0017
135.6050,0.0009,0.1889,0.0006
135.7060,0.0009,0.1882,-0.0015
135.8060,0.0009,0.1875,-0.0003
135.9060,0.0009,0.1868,-0.0006
136.0060,0.0009,0.1860,-0.0009
136.1060,0.0009,0.1850,-0.0016
136.2060,0.0009,0.1842,-0.0014
136.3060,0.0010,0.1831,-0.0015
136.4060,0.0010,0.1819,-0.0020
136.5060,0.0010,0.1809,0.0027
136.6060,0.0010,0.1796,0.0029
136.7060,0.0010,0.1782,-0.0018
136.8060,0.0010,0.1769,-0.0058
136.9060,0.0010,0.1754,-0.0021
137.0060,0.0010,0.1738,0.0034
137.1060,0.0010,0.1724,0.0028
137.2060,0.0010,0.1707,0.0028
137.3060,0.1491,0.1680,0.0005
137.4050,0.2989,0.1670,-0.0045
137.5060,0.4487,0.1657,-0.0046
137.6060,0.5986,0.1656,-0.0070
137.7050,0.7484,0.1655,0.0049
137.8060,0.8982,0.1648,0.0116
137.9060,0.7566,0.1648,0.0016
138.0060,0.6067,0.1617,-0.0059
138.1060,0.4567,0.1609,0.0063
