# TrueX (m), TrueY (m), TrueHeading (rad)
-0.0000,0.0000,-0.0000
-0.0000,0.0000,-0.0000
0.0000,0.0000,-0.0000
0.0001,0.0000,-0.0000
0.0001,0.0000,-0.0000
0.0002,0.0000,-0.0000
0.0003,-0.0000,0.0000
0.0003,-0.0000,0.0001
0.0003,-0.0000,0.0001
0.0004,-0.0000,0.0002
0.0004,-0.0000,0.0002
0.0004,-0.0000,0.0003
0.0004,-0.0001,0.0003
0.0004,-0.0001,0.0004
0.0003,-0.0001,0.0004
0.0003,-0.0001,0.0005
0.0002,-0.0001,0.0005
0.0001,-0.0001,0.0006
0.0000,-0.0001,0.0006
-0.0001,-0.0001,0.0007
-0.0003,-0.0001,0.0007
-0.0004,-0.0001,0.0008
-0.0005,-0.0001,0.0008
-0.0007,-0.0001,0.0009
-0.0009,-0.0001,0.0009
-0.0011,-0.0001,0.0010
-0.0013,-0.0002,0.0010
-0.0015,-0.0002,0.0011
-0.0018,-0.0002,0.0011
-0.0020,-0.0002,0.0012
-0.0023,-0.0002,0.0012
-0.0026,-0.0002,0.0013
-0.0029,-0.0002,0.0013
-0.0032,-0.0002,0.0013
-0.0035,-0.0002,0.0014
-0.0039,-0.0002,0.0014
-0.0042,-0.0002,0.0015
-0.0046,-0.0002,0.0015
-0.0054,-0.0002,0.0014
-0.0061,-0.0002,0.0012
-0.0067,-0.0002,0.0009
-0.0078,-0.0002,0.0001
-0.0078,-0.0002,0.0008
-0.0062,-0.0002,0.0019
-0.0062,-0.0002,0.0017
-0.0069,-0.0002,0.0012
-0.0073,-0.0002,0.0015
-0.0085,-0.0002,0.0012
-0.0106,-0.0002,0.0009
-0.0130,-0.0002,0.0009
-0.0136,-0.0002,0.0009
-0.0138,-0.0002,0.0009
-0.0140,-0.0002,0.0009
-0.0143,-0.0002,0.0009
-0.0146,-0.0002,0.0008
-0.0150,-0.0002,0.0008
-0.0153,-0.0002,0.0008
-0.0157,-0.0002,0.0008
-0.0161,-0.0003,0.0009
-0.0165,-0.0003,0.0009
-0.0168,-0.0003,0.0010
-0.0172,-0.0003,0.0010
-0.0186,-0.0003,0.0010
-0.0208,-0.0003,0.0005
-0.0226,-0.0003,0.0000
-0.0208,-0.0003,0.0008
-0.0188,-0.0003,0.0018
-0.0170,-0.0003,0.0034
-0.0172,-0.0003,0.0025
-0.0173,-0.0003,0.0025
-0.0173,-0.0003,0.0029
-0.0175,-0.0003,0.0017
-0.0177,-0.0003,0.0011
-0.0182,-0.0003,0.0002
-0.0190,-0.0003,-0.0006
-0.0197,-0.0003,-0.0007
-0.0210,-0.0003,-0.0011
-0.0221,-0.0003,-0.0009
-0.0221,-0.0003,-0.0009
-0.0239,-0.0003,-0.0017
-0.0226,-0.0003,-0.0008
-0.0229,-0.0003,-0.0012
-0.0239,-0.0003,-0.0016
-0.0227,-0.0003,-0.0007
-0.0229,-0.0003,-0.0010
-0.0239,-0.0003,-0.0016
-0.0245,-0.0003,-0.0022
-0.0261,-0.0003,-0.0037
-0.0267,-0.0003,-0.0040
-0.0273,-0.0002,-0.0037
-0.0271,-0.0002,-0.0035
-0.0269,-0.0002,-0.0032
-0.0271,-0.0002,-0.0029
-0.0270,-0.0002,-0.0023
-0.0271,-0.0002,-0.0023
-0.0271,-0.0002,-0.0023
-0.0272,-0.0002,-0.0023
-0.0273,-0.0002,-0.0023
-0.0274,-0.0002,-0.0023
-0.0276,-0.0002,-0.0023
-0.0294,-0.0002,-0.0033
-0.0300,-0.0002,-0.0036
-0.0319,-0.0002,-0.0050
-0.0305,-0.0002,-0.0029
-0.0290,-0.0002,-0.0017
-0.0293,-0.0002,-0.0013
-0.0292,-0.0002,-0.0005
-0.0293,-0.0002,-0.0011
-0.0294,-0.0002,-0.0020
-0.0295,-0.0002,-0.0022
-0.0301,-0.0002,-0.0027
-0.0309,-0.0002,-0.0031
-0.0322,-0.0002,-0.0036
-0.0291,-0.0002,0.0186
-0.0150,0.0004,0.0614
0.0102,0.0025,0.1021
0.0463,0.0070,0.1403
0.0931,0.0144,0.1737
0.1416,0.0237,0.2039
0.1869,0.0336,0.2303
0.2264,0.0434,0.2552
0.2645,0.0538,0.2775
0.2960,0.0632,0.2975
0.3240,0.0720,0.3150
0.3521,0.0814,0.3331
0.3796,0.0912,0.3506
0.4072,0.1016,0.3687
0.4343,0.1123,0.3861
0.4616,0.1237,0.4041
0.4885,0.1355,0.4217
0.5174,0.1489,0.4419
0.5555,0.1675,0.4714
0.6041,0.1938,0.5231
0.6637,0.2310,0.5912
0.7316,0.2803,0.6620
0.8018,0.3382,0.7185
0.8667,0.3984,0.7731
0.9263,0.4593,0.8236
0.9795,0.5198,0.8728
1.0273,0.5794,0.9181
1.0697,0.6375,0.9618
1.1079,0.6946,1.0025
1.1432,0.7528,1.0445
1.1767,0.8129,1.0853
1.2071,0.8738,1.1266
1.2352,0.9359,1.1669
1.2608,0.9996,1.2086
