# Time (sec), Steering Angle (rad), Front Wheel Angle (rad), Gyroscope Z (rad / sec)
40.8850,-0.0004,0.5999,0.0000
40.9860,-0.0004,0.6003,-0.0004
41.0860,-0.0004,0.6006,0.0029
41.1860,-0.0004,0.6007,-0.0037
41.2850,-0.0004,0.6006,0.0033
41.3850,-0.0004,0.6004,0.0028
41.4850,-0.0004,0.6001,0.0012
41.5860,-0.0005,0.5996,0.0020
41.6850,-0.0005,0.5991,-0.0042
41.7850,-0.0004,0.5985,0.0020
41.8860,-0.0004,0.5982,0.0042
41.9860,-0.0004,0.5979,0.0033
42.0860,-0.0004,0.5976,-0.0001
42.1850,-0.0004,0.5975,-0.0007
42.2850,-0.0004,0.5974,0.0009
42.3860,-0.0004,0.5973,0.0045
42.4860,-0.0004,0.5974,-0.0021
42.5850,-0.0004,0.5975,0.0034
42.6860,-0.0003,0.5976,0.0020
42.7860,-0.0003,0.5979,0.0050
42.8860,-0.0003,0.5982,0.0005
42.9860,-0.0003,0.5985,0.0027
43.0860,0.0000,1.1299,0.0004
43.1850,0.0003,2.1355,0.0017
43.2860,0.0007,3.1063,-0.0007
43.3860,0.0009,4.0494,0.0014
43.4860,0.0012,4.9666,0.0068
43.5860,0.0016,5.8592,0.0000
43.6860,0.0020,6.7279,0.0060
43.7860,0.0024,7.5709,0.0100
43.8860,0.0027,8.3893,0.0091
43.9860,0.0030,9.1826,0.0095
44.0850,0.0032,9.9280,0.0059
44.1850,0.0035,10.6476,0.0066
44.2860,0.0038,11.3444,0.0083
44.3860,0.0037,12.0200,0.0068
44.4860,0.0036,12.6712,0.0052
44.5860,0.0035,13.2971,0.0060
44.6850,0.0035,13.8977,0.0064
44.7860,0.0034,14.4729,0.0044
44.8860,0.0034,15.0228,0.0034
44.9860,0.0034,15.5474,0.0045
45.0860,0.0033,16.0461,0.0043
45.1860,0.0033,16.5201,0.0025
45.2860,0.0033,16.9690,0.0018
45.3850,0.0032,17.3926,0.0062
45.4860,0.0032,17.7911,0.0041
45.5860,0.0031,18.1644,0.0033
45.6850,0.0030,18.5125,0.0037
45.7850,0.0030,18.8354,0.0002
45.8860,0.0029,19.1331,-0.0007
45.9850,0.0029,19.4056,0.0018
46.0860,0.0028,19.6531,0.0037
46.1850,0.0028,19.8748,0.0041
46.2860,0.0028,20.0713,0.0003
46.3860,0.0027,20.2419,0.0010
46.4850,0.0027,20.3871,0.0013
46.5850,0.0026,20.5071,0.0023
46.6850,0.0026,20.6012,0.0014
46.7860,0.0025,20.6698,0.0021
46.8860,0.0025,20.7133,0.0043
46.9850,0.0024,20.7310,-0.0035
47.0860,0.0024,20.7312,0.0023
47.1860,0.0024,20.7312,0.0039
47.2860,0.0024,20.7311,0.0010
47.3860,0.0024,20.7308,-0.0010
47.4860,0.0024,20.7306,0.0033
47.5860,0.0024,20.7303,0.0041
47.6860,0.0024,20.7298,0.0025
47.7860,0.0025,20.7294,0.0019
47.8850,0.0025,20.7288,0.0019
47.9860,0.0025,20.7281,-0.0004
48.0860,0.0025,20.7275,0.0003
48.1860,0.0025,20.7267,0.0018
48.2860,0.0025,20.7258,-0.0036
48.3850,0.0025,20.7250,0.0024
48.4860,0.0025,20.7240,0.0014
48.5860,0.0025,20.7228,0.0022
48.6860,0.0025,20.7218,0.0053
48.7860,0.0026,20.7206,0.0032
48.8860,0.0026,20.7192,0.0003
48.9860,0.0026,20.7180,0.0038
49.0860,0.0026,20.7166,0.0008
49.1860,0.0026,20.7150,0.0017
49.2860,0.0026,20.7136,-0.0007
49.3850,0.0026,20.7119,0.0039
49.4860,0.0026,20.7101,0.0007
49.5860,0.0026,20.7085,-0.0016
49.6860,0.0027,20.7066,0.0059
49.7860,0.0027,20.7046,0.0052
49.8860,0.0027,20.7028,0.0007
49.9860,0.0027,20.7007,0.0019
50.0860,0.0027,20.6985,0.0016
50.1860,0.0027,20.6964,0.0009
50.2850,0.0027,20.6941,-0.0027
50.3850,0.0027,20.6917,-0.0031
50.4860,0.0027,20.6894,0.0022
50.5850,0.0027,20.6869,0.0007
