# TrueX (m), TrueY (m), TrueHeading (rad)
0.0000,0.0000,0.0000
0.0002,-0.0000,-0.0000
0.0003,-0.0000,-0.0000
0.0002,-0.0000,-0.0000
0.0002,-0.0000,-0.0000
0.0001,-0.0000,-0.0000
0.0000,-0.0000,-0.0000
-0.0001,-0.0000,-0.0000
-0.0002,-0.0000,-0.0000
-0.0004,-0.0000,0.0000
-0.0005,-0.0000,0.0001
-0.0006,-0.0000,0.0001
-0.0006,-0.0000,0.0002
-0.0007,-0.0000,0.0002
-0.0008,-0.0000,0.0003
-0.0008,-0.0000,0.0003
-0.0008,-0.0001,0.0004
-0.0009,-0.0001,0.0004
-0.0009,-0.0001,0.0005
-0.0008,-0.0001,0.0005
-0.0008,-0.0001,0.0006
-0.0008,-0.0001,0.0006
0.0040,-0.0001,0.0007
0.0192,-0.0001,0.0008
0.0452,-0.0001,0.0010
0.0823,-0.0000,0.0013
0.1302,0.0001,0.0017
0.1890,0.0002,0.0022
0.2588,0.0003,0.0028
0.3386,0.0006,0.0034
0.4310,0.0009,0.0040
0.5335,0.0014,0.0047
0.6469,0.0020,0.0053
0.7713,0.0026,0.0058
0.9064,0.0035,0.0064
1.0422,0.0044,0.0069
1.1732,0.0053,0.0073
1.2990,0.0062,0.0078
1.4198,0.0072,0.0082
1.5356,0.0082,0.0086
1.6462,0.0091,0.0089
1.7518,0.0101,0.0093
1.8524,0.0111,0.0096
1.9479,0.0120,0.0098
2.0384,0.0129,0.0101
2.1238,0.0138,0.0104
2.2042,0.0146,0.0106
2.2795,0.0154,0.0108
2.3498,0.0162,0.0111
2.4151,0.0169,0.0112
2.4753,0.0176,0.0114
2.5305,0.0182,0.0116
2.5807,0.0188,0.0117
2.6258,0.0193,0.0119
2.6657,0.0198,0.0121
2.7006,0.0202,0.0122
2.7304,0.0206,0.0123
2.7551,0.0209,0.0124
2.7747,0.0211,0.0125
2.7891,0.0213,0.0126
2.7985,0.0214,0.0127
2.8028,0.0215,0.0127
2.8032,0.0215,0.0128
2.8032,0.0214,0.0128
2.8031,0.0214,0.0129
2.8030,0.0214,0.0129
2.8030,0.0214,0.0130
2.8029,0.0214,0.0130
2.8027,0.0214,0.0131
2.8026,0.0214,0.0131
2.8025,0.0214,0.0132
2.8023,0.0214,0.0132
2.8021,0.0214,0.0133
2.8019,0.0214,0.0133
2.8017,0.0213,0.0134
2.8015,0.0213,0.0134
2.8013,0.0213,0.0135
2.8010,0.0213,0.0135
2.8008,0.0213,0.0136
2.8005,0.0213,0.0136
2.8002,0.0213,0.0137
2.7999,0.0213,0.0137
2.7996,0.0213,0.0138
2.7993,0.0212,0.0138
2.7990,0.0212,0.0139
2.7986,0.0212,0.0139
2.7982,0.0212,0.0140
2.7978,0.0212,0.0140
2.7974,0.0212,0.0141
2.7970,0.0212,0.0141
2.7966,0.0212,0.0142
2.7961,0.0211,0.0142
2.7957,0.0211,0.0143
2.7952,0.0211,0.0143
2.7947,0.0211,0.0144
2.7942,0.0211,0.0144
2.7937,0.0211,0.0145
2.7932,0.0210,0.0145
