# predX, predY, predHeading, trueX, trueY, trueHeading
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.487426570165517039e-03,-7.767004151913531546e-04,6.150808900093962864e-05,2.000000000000000096e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-1.617496074663420363e-03,-1.504575120781064153e-03,4.617332908045497443e-04,2.999999999999999737e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-3.886792622671116516e-03,-1.369807944947487458e-03,-6.957320941502668056e-05,2.000000000000000096e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-4.499545653664254428e-03,-1.714167910433869301e-03,-2.829682511509226932e-03,2.000000000000000096e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-7.286566678536751489e-03,-3.870540339229702493e-03,-2.937989046779154560e-03,1.000000000000000048e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-8.475688028393952439e-03,-4.418400400963528284e-03,-4.101731716426248141e-03,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
-9.096260582273824752e-03,-4.340725146265915317e-03,-3.927087252230771972e-03,-1.000000000000000048e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-9.291395787618311752e-03,-4.538608568484885433e-03,-1.764648128194260066e-03,-2.000000000000000096e-04,-0.000000000000000000e+00,-0.000000000000000000e+00
-9.544632911807732559e-03,-4.074274416674298488e-03,-3.336844058469793078e-03,-4.000000000000000192e-04,-0.000000000000000000e+00,0.000000000000000000e+00
-1.148218964420009286e-02,-5.453273974516038847e-03,-2.651587655026854326e-03,-5.000000000000000104e-04,-0.000000000000000000e+00,1.000000000000000048e-04
-1.398074603686766913e-02,-6.693353560508119929e-03,-2.280812269985551827e-03,-5.999999999999999474e-04,-0.000000000000000000e+00,1.000000000000000048e-04
-1.540422970230176901e-02,-6.710866871065327734e-03,-2.929099873803206553e-03,-5.999999999999999474e-04,-0.000000000000000000e+00,2.000000000000000096e-04
-1.737340950730567254e-02,-7.971935380187016723e-03,4.617373484777025734e-04,-6.999999999999999929e-04,-0.000000000000000000e+00,2.000000000000000096e-04
-1.903766016107815567e-02,-8.948073334892340386e-03,2.321859705586448871e-04,-8.000000000000000383e-04,-0.000000000000000000e+00,2.999999999999999737e-04
-1.968828465334378913e-02,-8.116128470925331947e-03,-2.774067100810212786e-04,-8.000000000000000383e-04,-0.000000000000000000e+00,2.999999999999999737e-04
-2.082120556748547416e-02,-8.597862692915058183e-03,-2.620624132801974496e-03,-8.000000000000000383e-04,-1.000000000000000048e-04,4.000000000000000192e-04
-2.213060925112943569e-02,-9.246421278244470326e-03,-3.684228548947393080e-03,-8.999999999999999754e-04,-1.000000000000000048e-04,4.000000000000000192e-04
-2.256247745756399109e-02,-9.593283359604047253e-03,-3.007692352749978277e-03,-8.999999999999999754e-04,-1.000000000000000048e-04,5.000000000000000104e-04
-2.313818618419534803e-02,-9.671117834303424865e-03,-2.552255942116206031e-03,-8.000000000000000383e-04,-1.000000000000000048e-04,5.000000000000000104e-04
-2.447070068188898079e-02,-8.851882756503358374e-03,-2.719425083803564489e-03,-8.000000000000000383e-04,-1.000000000000000048e-04,5.999999999999999474e-04
-2.431299177387251723e-02,-1.032998535809497541e-02,-2.284903621818754060e-03,-8.000000000000000383e-04,-1.000000000000000048e-04,5.999999999999999474e-04
-2.706660165347258770e-02,-1.130778948999002463e-02,-2.923941818084468004e-03,4.000000000000000083e-03,-1.000000000000000048e-04,6.999999999999999929e-04
4.969839124038082090e-04,-1.129182345306838781e-02,2.317202295182117441e-02,1.919999999999999832e-02,-1.000000000000000048e-04,8.000000000000000383e-04
